V,I,V_in,I_in,I_sps,V_sps
0,-0.001,-0.001095326,-0.0009999851,4286650914.0,0.0
0,-0.001,-0.001094778,-0.0009999849,8314093.0,0.0
0,-0.001,-0.001094367,-0.0009999851,8314889.0,0.0
0,-0.001,-0.001094778,-0.0009999846,8315425.0,0.0
0,-0.001,-0.001094779,-0.0009999855,8315317.0,0.0
0,-0.001,-0.001094916,-0.0009999856,8314954.0,0.0
0,-0.001,-0.001095736,-0.0009999851,8314984.0,0.0
0,-0.001,-0.001094504,-0.0009999862,8315289.0,0.0
0,-0.001,-0.001095052,-0.0009999868,8313985.0,0.0
0,-0.001,-0.001094914,-0.0009999854,8314781.0,0.0
0,-0.0009,-0.0009873183,-0.0008999805,7860837.0,0.0
0,-0.0009,-0.0009873178,-0.0008999811,7868054.0,0.0
0,-0.0009,-0.0009869075,-0.0008999808,7876298.0,0.0
0,-0.0009,-0.0009867707,-0.0008999807,7866456.0,0.0
0,-0.0009,-0.0009871816,-0.0008999805,7858703.0,0.0
0,-0.0009,-0.0009873173,-0.0008999809,7866834.0,0.0
0,-0.0009,-0.0009856758,-0.0008999807,7873369.0,0.0
0,-0.0009,-0.0009869076,-0.0008999807,7864302.0,0.0
0,-0.0009,-0.000986907,-0.0008999809,7865445.0,0.0
0,-0.0009,-0.0009864967,-0.000899981,7862273.0,0.0
0,-0.0007999999999999999,-0.0008795843,-0.0007999814,7030558.0,0.0
0,-0.0007999999999999999,-0.0008791744,-0.0007999809,7033878.0,0.0
0,-0.0007999999999999999,-0.0008791746,-0.000799981,7029262.0,0.0
0,-0.0007999999999999999,-0.0008784898,-0.0007999816,7027288.0,0.0
0,-0.0007999999999999999,-0.0008787641,-0.0007999805,7035354.0,0.0
0,-0.0007999999999999999,-0.0008794483,-0.0007999807,7039292.0,0.0
0,-0.0007999999999999999,-0.0008780795,-0.0007999808,7028786.0,0.0
0,-0.0007999999999999999,-0.0008782166,-0.0007999824,7033092.0,0.0
0,-0.0007999999999999999,-0.0008784899,-0.0007999812,7037432.0,0.0
0,-0.0007999999999999999,-0.0008787632,-0.0007999805,7031933.0,0.0
0,-0.0006999999999999999,-0.0007704829,-0.000699992,6190909.0,0.0
0,-0.0006999999999999999,-0.0007707563,-0.0006999929,6189125.0,0.0
0,-0.0006999999999999999,-0.0007711672,-0.0006999923,6189361.0,0.0
0,-0.0006999999999999999,-0.0007707563,-0.0006999924,6197634.0,0.0
0,-0.0006999999999999999,-0.0007721251,-0.0006999931,6187539.0,0.0
0,-0.0006999999999999999,-0.0007710296,-0.0006999929,6190311.0,0.0
0,-0.0006999999999999999,-0.0007719888,-0.0006999928,6189454.0,0.0
0,-0.0006999999999999999,-0.0007711672,-0.0006999935,6180774.0,0.0
0,-0.0006999999999999999,-0.0007714411,-0.0006999916,6187882.0,0.0
0,-0.0006999999999999999,-0.0007714409,-0.0006999929,6185971.0,0.0
0,-0.0005999999999999998,-0.0006634345,-0.0005999916,5351295.0,0.0
0,-0.0005999999999999998,-0.0006643924,-0.0005999915,5354737.0,0.0
0,-0.0005999999999999998,-0.0006637081,-0.0005999915,5351083.0,0.0
0,-0.0005999999999999998,-0.0006638448,-0.0005999917,5338602.0,0.0
0,-0.0005999999999999998,-0.000664119,-0.0005999908,5349853.0,0.0
0,-0.0005999999999999998,-0.0006643923,-0.0005999926,5347042.0,0.0
0,-0.0005999999999999998,-0.0006642553,-0.0005999916,5350830.0,0.0
0,-0.0005999999999999998,-0.0006641189,-0.0005999909,5352663.0,0.0
0,-0.0005999999999999998,-0.0006643928,-0.0005999919,5347778.0,0.0
0,-0.0005999999999999998,-0.0006639819,-0.0005999915,5348804.0,0.0
0,-0.0004999999999999998,-0.0005562489,-0.0004999883,4506875.0,0.0
0,-0.0004999999999999998,-0.0005565229,-0.0004999888,4494374.0,0.0
0,-0.0004999999999999998,-0.0005555645,-0.0004999881,4505140.0,0.0
0,-0.0004999999999999998,-0.0005558384,-0.0004999891,4507818.0,0.0
0,-0.0004999999999999998,-0.0005559756,-0.0004999892,4509990.0,0.0
0,-0.0004999999999999998,-0.0005559754,-0.0004999884,4508848.0,0.0
0,-0.0004999999999999998,-0.0005561122,-0.0004999886,4511696.0,0.0
