V,I,V_in,I_in,I_sps,V_sps
-2.0,0,-1.999969,-3.297252e-09,0.0,5080289.0
-2.0,0,-1.999971,-3.354917e-09,0.0,5080370.0
-2.0,0,-1.99997,-3.388614e-09,0.0,5080283.0
-2.0,0,-1.999969,-3.350937e-09,0.0,5080333.0
-2.0,0,-1.99997,-3.355073e-09,0.0,5080310.0
-2.0,0,-1.999969,-3.364642e-09,0.0,5080264.0
-2.0,0,-1.99997,-3.341898e-09,0.0,5080334.0
-2.0,0,-1.999969,-3.406688e-09,0.0,5080471.0
-2.0,0,-1.999969,-3.31341e-09,0.0,5080418.0
-2.0,0,-1.999967,-2.877577e-09,0.0,5080409.0
-1.9,0,-1.899954,-3.264855e-09,0.0,4826114.0
-1.9,0,-1.899952,-3.3759e-09,0.0,4826232.0
-1.9,0,-1.899954,-3.304984e-09,0.0,4826208.0
-1.9,0,-1.899955,-3.433031e-09,0.0,4826089.0
-1.9,0,-1.899953,-3.376437e-09,0.0,4826154.0
-1.9,0,-1.899955,-3.301461e-09,0.0,4826115.0
-1.9,0,-1.899955,-3.243182e-09,0.0,4826113.0
-1.9,0,-1.899953,-3.325966e-09,0.0,4826026.0
-1.9,0,-1.899953,-3.299848e-09,0.0,4826180.0
-1.9,0,-1.899955,-3.29403e-09,0.0,4826207.0
-1.7999999999999998,0,-1.799968,-3.220435e-09,0.0,4571959.0
-1.7999999999999998,0,-1.799971,-3.230775e-09,0.0,4571970.0
-1.7999999999999998,0,-1.799969,-3.255585e-09,0.0,4571924.0
-1.7999999999999998,0,-1.79997,-2.792798e-09,0.0,4571998.0
-1.7999999999999998,0,-1.799971,-2.93593e-09,0.0,4571951.0
-1.7999999999999998,0,-1.79997,-3.270749e-09,0.0,4571909.0
-1.7999999999999998,0,-1.799968,-3.231463e-09,0.0,4572021.0
-1.7999999999999998,0,-1.799969,-3.214536e-09,0.0,4572099.0
-1.7999999999999998,0,-1.799969,-3.333854e-09,0.0,4572103.0
-1.7999999999999998,0,-1.79997,-3.225719e-09,0.0,4572182.0
-1.6999999999999997,0,-1.699955,-2.970622e-09,0.0,4317768.0
