V,V_in,I_in,I_sps,V_sps
0.0,4.042704e-06,-4.544888e-09,10.0,16741754.0
0.0,2.536901e-06,-4.137795e-09,10.0,16741480.0
0.0,4.453395e-06,-4.180909e-09,10.0,16742141.0
0.0,4.17963e-06,-4.151352e-09,10.0,16740659.0
0.0,3.631918e-06,-4.168276e-09,10.0,16741650.0
0.0,3.495144e-06,-4.315153e-09,10.0,16741616.0
0.0,4.04266e-06,-4.181447e-09,10.0,16741330.0
0.0,4.316484e-06,-4.210701e-09,10.0,16742761.0
0.0,3.768946e-06,-4.138559e-09,10.0,16741734.0
0.0,4.179601e-06,-4.184968e-09,10.0,16741740.0
0.1,0.100003,-4.16728e-09,10.0,16741779.0
0.1,0.1000034,-4.156864e-09,10.0,16491114.0
0.1,0.1000035,-4.133582e-09,10.0,16491688.0
0.1,0.1000037,-4.146755e-09,10.0,16492116.0
0.1,0.1000031,-4.072857e-09,10.0,16491951.0
0.1,0.1000031,-4.147982e-09,10.0,16491907.0
0.1,0.1000032,-4.153262e-09,10.0,16491271.0
0.1,0.100003,-4.123092e-09,10.0,16491163.0
0.1,0.1000029,-4.198294e-09,10.0,16491780.0
0.1,0.1000031,-4.145912e-09,10.0,16491654.0
0.2,0.2000061,-4.140702e-09,10.0,16491490.0
0.2,0.2000055,-4.152648e-09,10.0,16240181.0
0.2,0.2000061,-4.153952e-09,10.0,16240289.0
0.2,0.2000065,-4.144303e-09,10.0,16240706.0
0.2,0.2000057,-4.057999e-09,10.0,16242710.0
0.2,0.2000064,-4.000182e-09,10.0,16241177.0
0.2,0.2000067,-3.994132e-09,10.0,16240303.0
0.2,0.200006,-4.000177e-09,10.0,16241959.0
0.2,0.2000074,-3.995662e-09,10.0,16241596.0
0.2,0.2000061,-3.991069e-09,10.0,16241037.0
0.30000000000000004,0.2999991,-4.000717e-09,10.0,16242894.0
0.30000000000000004,0.2999987,-3.989609e-09,10.0,15986762.0
0.30000000000000004,0.2999987,-3.997958e-09,10.0,15988476.0
0.30000000000000004,0.2999987,-3.994967e-09,10.0,15992768.0
0.30000000000000004,0.2999981,-3.995045e-09,10.0,15989132.0
0.30000000000000004,0.2999984,-3.997422e-09,10.0,15988525.0
0.30000000000000004,0.2999994,-3.993593e-09,10.0,15989925.0
0.30000000000000004,0.2999991,-3.997269e-09,10.0,15988664.0
0.30000000000000004,0.2999975,-4.004694e-09,10.0,15989199.0
0.30000000000000004,0.2999995,-3.991599e-09,10.0,15984075.0
0.4,0.3999896,-3.994663e-09,10.0,15988301.0
0.4,0.3999895,-4.020627e-09,10.0,15735087.0
0.4,0.3999894,-3.995432e-09,10.0,15735197.0
0.4,0.3999893,-3.98264e-09,10.0,15733966.0
0.4,0.3999892,-3.978355e-09,10.0,15735838.0
0.4,0.3999891,-4.005998e-09,10.0,15735540.0
0.4,0.3999897,-3.994973e-09,10.0,15735451.0
0.4,0.3999891,-3.985554e-09,10.0,15735771.0
0.4,0.3999892,-4.01473e-09,10.0,15734536.0
0.4,0.3999884,-3.993823e-09,10.0,15720795.0
0.5,0.5000091,-3.97789e-09,10.0,15739184.0
0.5,0.500008,-4.000559e-09,10.0,15475844.0
0.5,0.5000087,-3.98762e-09,10.0,15474793.0
0.5,0.5000088,-3.99405e-09,10.0,15475195.0
0.5,0.5000085,-4.002858e-09,10.0,15475468.0
0.5,0.5000085,-3.985322e-09,10.0,15475827.0
0.5,0.5000069,-4.025449e-09,10.0,15476210.0
0.5,0.5000095,-4.012048e-09,10.0,15474416.0
0.5,0.5000092,-3.994816e-09,10.0,15475961.0
0.5,0.5000091,-3.995889e-09,10.0,15475023.0
0.6,0.599995,-3.970922e-09,10.0,15475509.0
0.6,0.5999956,-4.015416e-09,10.0,15216527.0
0.6,0.5999953,-4.001097e-09,10.0,15219043.0
0.6,0.5999957,-4.020693e-09,10.0,15217358.0
0.6,0.5999954,-4.012733e-09,10.0,15218882.0
0.6,0.5999964,-3.998262e-09,10.0,15216014.0
0.6,0.5999951,-4.004232e-09,10.0,15217125.0
0.6,0.5999954,-4.054544e-09,10.0,15218116.0
0.6,0.5999957,-3.994511e-09,10.0,15215852.0
0.6,0.599996,-3.994352e-09,10.0,15219324.0
0.7,0.6999716,-4.001553e-09,10.0,15214476.0
0.7,0.6999717,-3.985625e-09,10.0,14951211.0
0.7,0.6999722,-4.0135e-09,10.0,14952232.0
0.7,0.6999722,-3.995196e-09,10.0,14951033.0
0.7,0.6999725,-3.982792e-09,10.0,14951731.0
0.7,0.6999705,-3.994739e-09,10.0,14950729.0
0.7,0.6999715,-3.985779e-09,10.0,14952961.0
0.7,0.6999711,-3.987535e-09,10.0,14952434.0
0.7,0.6999714,-4.010359e-09,10.0,14951620.0
0.7,0.6999723,-4.020311e-09,10.0,14948041.0
0.7999999999999999,0.7999888,-3.992512e-09,10.0,14954027.0
0.7999999999999999,0.7999882,-3.994046e-09,10.0,14664624.0
0.7999999999999999,0.799988,-3.996957e-09,10.0,14660594.0
0.7999999999999999,0.7999887,-4.007986e-09,10.0,14664887.0
0.7999999999999999,0.7999861,-4.004612e-09,10.0,14657395.0
0.7999999999999999,0.7999876,-4.053395e-09,10.0,14665734.0
0.7999999999999999,0.7999888,-4.001549e-09,10.0,14665503.0
0.7999999999999999,0.7999887,-3.954378e-09,10.0,14661728.0
0.7999999999999999,0.7999876,-3.990984e-09,10.0,14669076.0
0.7999999999999999,0.7999888,-3.989377e-09,10.0,14666675.0
0.8999999999999999,0.8999768,-3.884998e-09,10.0,14660970.0
0.8999999999999999,0.8999763,-3.964868e-09,10.0,14396920.0
0.8999999999999999,0.8999781,-3.953613e-09,10.0,14395096.0
0.8999999999999999,0.8999749,-3.959124e-09,10.0,14402589.0
0.8999999999999999,0.8999771,-4.143837e-09,10.0,14387804.0
0.8999999999999999,0.8999766,-3.973215e-09,10.0,14398453.0
0.8999999999999999,0.8999771,-3.965555e-09,10.0,14405835.0
0.8999999999999999,0.899977,-3.981025e-09,10.0,14395971.0
0.8999999999999999,0.8999773,-3.987001e-09,10.0,14397693.0
0.8999999999999999,0.8999766,-3.966093e-09,10.0,14392697.0
0.9999999999999999,0.9999663,-3.956982e-09,10.0,14403184.0
0.9999999999999999,0.9999666,-3.98164e-09,10.0,14196207.0
0.9999999999999999,0.9999673,-3.92535e-09,10.0,14191449.0
0.9999999999999999,0.9999679,-3.968239e-09,10.0,14190119.0
0.9999999999999999,0.9999663,-3.959431e-09,10.0,14189735.0
0.9999999999999999,0.999967,-3.995958e-09,10.0,14193567.0
0.9999999999999999,0.9999663,-3.96969e-09,10.0,14193657.0
0.9999999999999999,0.9999668,-3.940513e-09,10.0,14201803.0
0.9999999999999999,0.9999656,-4.01648e-09,10.0,14189403.0
0.9999999999999999,0.9999657,-3.974896e-09,10.0,14198268.0
1.0999999999999999,1.099977,-3.993812e-09,10.0,14189023.0
