V,V_in,I_in,I_sps,V_sps
0.0,5.000089e-06,-2.207134e-09,10.0,16757575.0
0.0,4.726309e-06,-2.340073e-09,10.0,16755883.0
0.0,4.589412e-06,-2.202155e-09,10.0,16755854.0
0.0,4.863228e-06,-2.112177e-09,10.0,16756429.0
0.0,4.178779e-06,-2.196642e-09,10.0,16752898.0
0.0,5.273941e-06,-2.187453e-09,10.0,16755119.0
0.0,4.452544e-06,-2.211039e-09,10.0,16755150.0
0.0,2.809844e-06,-2.211574e-09,10.0,16751518.0
0.0,4.315647e-06,-2.201161e-09,10.0,16752760.0
0.0,5.137001e-06,-2.276361e-09,10.0,16757140.0
0.1,0.1000038,-2.159503e-09,10.0,16755120.0
0.1,0.1000046,-2.221684e-09,10.0,16508699.0
0.1,0.1000046,-2.163485e-09,10.0,16514682.0
0.1,0.1000044,-2.151539e-09,10.0,16510120.0
0.1,0.1000043,-2.16624e-09,10.0,16509399.0
0.1,0.1000032,-2.1703e-09,10.0,16508168.0
0.1,0.1000046,-2.18845e-09,10.0,16507804.0
0.1,0.100004,-2.154525e-09,10.0,16506382.0
0.1,0.1000035,-2.160803e-09,10.0,16510899.0
0.1,0.1000036,-2.203458e-09,10.0,16504910.0
0.2,0.2000079,-1.677975e-09,10.0,16512256.0
0.2,0.2000076,-1.599712e-09,10.0,16259742.0
0.2,0.2000076,-3.026599e-09,10.0,16257792.0
0.2,0.200007,-2.025947e-09,10.0,16262464.0
0.2,0.2000084,-2.093951e-09,10.0,16252236.0
0.2,0.2000073,-2.169686e-09,10.0,16262326.0
0.2,0.2000072,-2.127107e-09,10.0,16261003.0
0.2,0.2000077,-2.181095e-09,10.0,16262986.0
0.2,0.2000061,-2.149468e-09,10.0,16260718.0
0.2,0.2000085,-2.114166e-09,10.0,16258351.0
0.30000000000000004,0.3000008,-2.150158e-09,10.0,16260997.0
0.30000000000000004,0.3,-2.136374e-09,10.0,16019093.0
0.30000000000000004,0.3000013,-2.172749e-09,10.0,16018206.0
0.30000000000000004,0.2999996,-2.146252e-09,10.0,16016922.0
0.30000000000000004,0.3000004,-2.142728e-09,10.0,16018149.0
0.30000000000000004,0.3000006,-2.549589e-09,10.0,16016348.0
0.30000000000000004,0.3000003,-2.222677e-09,10.0,16013206.0
0.30000000000000004,0.3000006,-2.086139e-09,10.0,16013146.0
0.30000000000000004,0.2999987,-2.036899e-09,10.0,16012195.0
0.30000000000000004,0.3000004,-1.807624e-09,10.0,16017907.0
0.4,0.3999917,-2.247105e-09,10.0,16014622.0
0.4,0.3999904,-2.152377e-09,10.0,15764012.0
0.4,0.3999912,-2.181247e-09,10.0,15767146.0
0.4,0.3999912,-2.191127e-09,10.0,15770231.0
0.4,0.3999909,-2.279421e-09,10.0,15757753.0
0.4,0.399992,-2.163789e-09,10.0,15766335.0
0.4,0.3999915,-2.033834e-09,10.0,15769571.0
0.4,0.3999915,-2.207897e-09,10.0,15767004.0
0.4,0.3999897,-2.150848e-09,10.0,15766928.0
0.4,0.3999909,-2.106967e-09,10.0,15768821.0
0.5,0.5000104,-2.158121e-09,10.0,15771863.0
0.5,0.5000106,-2.170682e-09,10.0,15520599.0
0.5,0.5000104,-2.166087e-09,10.0,15519431.0
0.5,0.5000102,-2.150771e-09,10.0,15520181.0
0.5,0.5000107,-2.212033e-09,10.0,15520043.0
0.5,0.5000108,-2.257137e-09,10.0,15519838.0
0.5,0.5000098,-4.223668e-09,10.0,15519874.0
0.5,0.5000117,-2.157277e-09,10.0,15520213.0
0.5,0.5000094,-2.105128e-09,10.0,15519993.0
0.5,0.5000111,-2.118837e-09,10.0,15520023.0
0.6,0.599996,-2.135225e-09,10.0,15520302.0
0.6,0.5999974,-2.264871e-09,10.0,15272032.0
0.6,0.5999969,-2.156514e-09,10.0,15271576.0
0.6,0.5999967,-2.042565e-09,10.0,15271929.0
0.6,0.5999951,-2.146482e-09,10.0,15272803.0
0.6,0.5999963,-2.148473e-09,10.0,15272456.0
0.6,0.5999972,-2.155135e-09,10.0,15272489.0
0.6,0.5999971,-2.142269e-09,10.0,15270682.0
0.6,0.5999953,-2.14319e-09,10.0,15271819.0
0.6,0.5999968,-2.262498e-09,10.0,15271894.0
0.7,0.6999733,-2.139743e-09,10.0,15271471.0
