V,I,V_in,I_in,I_sps,V_sps
0,-0.0009,-1.95184,-0.0008999719,92914.0,0.0
0,-0.0009,-1.951839,-0.0008999721,8277785.0,0.0
0,-0.0009,-1.951837,-0.0008999722,8277675.0,0.0
0,-0.0009,-1.951839,-0.0008999711,8277770.0,0.0
0,-0.0009,-1.951838,-0.0008999718,8277822.0,0.0
0,-0.0009,-1.951837,-0.0008999716,8277779.0,0.0
0,-0.0009,-1.951838,-0.0008999718,8277834.0,0.0
0,-0.0009,-1.951838,-0.0008999711,8277791.0,0.0
0,-0.0009,-1.951836,-0.0008999723,8277736.0,0.0
0,-0.0009,-1.951832,-0.0008999713,8277906.0,0.0
0,-0.0007999999999999999,-1.734964,-0.0007999724,8277959.0,0.0
0,-0.0007999999999999999,-1.734964,-0.0007999722,8277813.0,0.0
0,-0.0007999999999999999,-1.734961,-0.000799972,8277933.0,0.0
0,-0.0007999999999999999,-1.734963,-0.0007999724,8277936.0,0.0
0,-0.0007999999999999999,-1.734963,-0.0007999717,8277875.0,0.0
0,-0.0007999999999999999,-1.734962,-0.0007999718,8277795.0,0.0
0,-0.0007999999999999999,-1.734959,-0.0007999715,8277845.0,0.0
0,-0.0007999999999999999,-1.734954,-0.0007999729,8277872.0,0.0
0,-0.0007999999999999999,-1.734957,-0.0007999731,8277947.0,0.0
0,-0.0007999999999999999,-1.734954,-0.0007999722,8278146.0,0.0
0,-0.0006999999999999999,-1.518119,-0.000699984,8278185.0,0.0
0,-0.0006999999999999999,-1.518123,-0.0006999854,8277992.0,0.0
0,-0.0006999999999999999,-1.518128,-0.0006999855,8278103.0,0.0
0,-0.0006999999999999999,-1.518128,-0.0006999843,8278116.0,0.0
0,-0.0006999999999999999,-1.518131,-0.0006999837,8277996.0,0.0
0,-0.0006999999999999999,-1.518133,-0.000699985,8277876.0,0.0
0,-0.0006999999999999999,-1.518136,-0.0006999847,8278046.0,0.0
0,-0.0006999999999999999,-1.518138,-0.000699985,8277910.0,0.0
0,-0.0006999999999999999,-1.518139,-0.0006999845,8277812.0,0.0
0,-0.0006999999999999999,-1.518142,-0.0006999849,8277817.0,0.0
0,-0.0005999999999999998,-1.30127,-0.0005999842,8258904.0,0.0
0,-0.0005999999999999998,-1.301272,-0.000599985,8258445.0,0.0
0,-0.0005999999999999998,-1.30127,-0.0005999848,8258315.0,0.0
0,-0.0005999999999999998,-1.301268,-0.0005999847,8258111.0,0.0
0,-0.0005999999999999998,-1.30127,-0.0005999848,8258818.0,0.0
0,-0.0005999999999999998,-1.30127,-0.0005999848,8258861.0,0.0
0,-0.0005999999999999998,-1.30127,-0.0005999844,8258529.0,0.0
0,-0.0005999999999999998,-1.301268,-0.0005999854,8258269.0,0.0
0,-0.0005999999999999998,-1.301271,-0.0005999849,8258432.0,0.0
0,-0.0005999999999999998,-1.30127,-0.0005999847,8258101.0,0.0
0,-0.0004999999999999998,-1.084394,-0.0004999831,8187898.0,0.0
0,-0.0004999999999999998,-1.084392,-0.0004999831,8189427.0,0.0
0,-0.0004999999999999998,-1.084393,-0.000499983,8185493.0,0.0
0,-0.0004999999999999998,-1.084393,-0.000499983,8188807.0,0.0
0,-0.0004999999999999998,-1.084394,-0.000499983,8188677.0,0.0
0,-0.0004999999999999998,-1.084391,-0.0004999827,8188732.0,0.0
0,-0.0004999999999999998,-1.08439,-0.0004999827,8188709.0,0.0
0,-0.0004999999999999998,-1.08439,-0.0004999825,8186218.0,0.0
0,-0.0004999999999999998,-1.084388,-0.0004999838,8188084.0,0.0
0,-0.0004999999999999998,-1.084388,-0.0004999829,8187222.0,0.0
0,-0.0003999999999999998,-0.8675189,-0.0003999828,7083992.0,0.0
0,-0.0003999999999999998,-0.8675199,-0.0003999821,7080692.0,0.0
0,-0.0003999999999999998,-0.8675165,-0.0003999824,7077668.0,0.0
0,-0.0003999999999999998,-0.8675175,-0.0003999824,7101424.0,0.0
0,-0.0003999999999999998,-0.8675159,-0.0003999828,7081890.0,0.0
0,-0.0003999999999999998,-0.867516,-0.0003999829,7089405.0,0.0
0,-0.0003999999999999998,-0.8675151,-0.0003999827,7086979.0,0.0
0,-0.0003999999999999998,-0.867515,-0.000399983,7080748.0,0.0
0,-0.0003999999999999998,-0.8675146,-0.0003999831,7095021.0,0.0
0,-0.0003999999999999998,-0.867515,-0.000399983,7076776.0,0.0
0,-0.0002999999999999998,-0.6506335,-0.0002999771,5403279.0,0.0
0,-0.0002999999999999998,-0.6506339,-0.0002999772,5412989.0,0.0
0,-0.0002999999999999998,-0.6506356,-0.0002999774,5417928.0,0.0
0,-0.0002999999999999998,-0.6506368,-0.0002999773,5410241.0,0.0
0,-0.0002999999999999998,-0.6506364,-0.0002999772,5385140.0,0.0
0,-0.0002999999999999998,-0.6506386,-0.0002999773,5414299.0,0.0
0,-0.0002999999999999998,-0.6506379,-0.0002999775,5402763.0,0.0
0,-0.0002999999999999998,-0.6506349,-0.0002999772,5416501.0,0.0
0,-0.0002999999999999998,-0.6506349,-0.0002999775,5402889.0,0.0
0,-0.0002999999999999998,-0.6506351,-0.0002999773,5412958.0,0.0
0,-0.00019999999999999982,-0.4337919,-0.0001999949,3733184.0,0.0
