V,I,V_in,I_in,I_sps,V_sps
-2.0,0,-1.999984,-3.779496e-09,0.0,5083928.0
-2.0,0,-1.999983,-3.787306e-09,0.0,5083937.0
-2.0,0,-1.999982,-3.736997e-09,0.0,5084007.0
-2.0,0,-1.999983,-3.756906e-09,0.0,5084121.0
-2.0,0,-1.999984,-3.78616e-09,0.0,5084008.0
-2.0,0,-1.999983,-3.757521e-09,0.0,5084046.0
-2.0,0,-1.999983,-3.739522e-09,0.0,5084049.0
-2.0,0,-1.999983,-3.747104e-09,0.0,5083981.0
-2.0,0,-1.999981,-3.733549e-09,0.0,5083988.0
-2.0,0,-1.999983,-3.721988e-09,0.0,5083964.0
-1.9,0,-1.899965,-3.682321e-09,0.0,4829716.0
-1.9,0,-1.899966,-3.67811e-09,0.0,4829727.0
-1.9,0,-1.899965,-3.670605e-09,0.0,4829707.0
-1.9,0,-1.899967,-3.673668e-09,0.0,4829643.0
-1.9,0,-1.899968,-3.739979e-09,0.0,4829605.0
-1.9,0,-1.899968,-3.633154e-09,0.0,4829753.0
-1.9,0,-1.899966,-3.691129e-09,0.0,4829654.0
-1.9,0,-1.899968,-3.970408e-09,0.0,4829720.0
-1.9,0,-1.899965,-3.670528e-09,0.0,4829664.0
-1.9,0,-1.899966,-3.67696e-09,0.0,4829726.0
-1.7999999999999998,0,-1.799983,-3.641579e-09,0.0,4575378.0
-1.7999999999999998,0,-1.799982,-3.655213e-09,0.0,4575453.0
-1.7999999999999998,0,-1.799983,-3.656206e-09,0.0,4575509.0
-1.7999999999999998,0,-1.799983,-3.661185e-09,0.0,4575437.0
-1.7999999999999998,0,-1.799982,-3.653142e-09,0.0,4575382.0
-1.7999999999999998,0,-1.799981,-3.833637e-09,0.0,4575452.0
-1.7999999999999998,0,-1.799982,-3.668995e-09,0.0,4575434.0
-1.7999999999999998,0,-1.79998,-3.481762e-09,0.0,4575197.0
-1.7999999999999998,0,-1.799983,-3.708351e-09,0.0,4575378.0
-1.7999999999999998,0,-1.799982,-3.673822e-09,0.0,4575461.0
-1.6999999999999997,0,-1.699967,-3.682776e-09,0.0,4320989.0
-1.6999999999999997,0,-1.699968,-3.67466e-09,0.0,4321090.0
-1.6999999999999997,0,-1.699967,-3.701694e-09,0.0,4321000.0
-1.6999999999999997,0,-1.699969,-3.693728e-09,0.0,4320899.0
-1.6999999999999997,0,-1.699968,-3.703227e-09,0.0,4321050.0
-1.6999999999999997,0,-1.699966,-3.680098e-09,0.0,4321175.0
-1.6999999999999997,0,-1.699966,-3.66685e-09,0.0,4321014.0
-1.6999999999999997,0,-1.699969,-3.656128e-09,0.0,4321028.0
-1.6999999999999997,0,-1.699967,-3.707589e-09,0.0,4320994.0
-1.6999999999999997,0,-1.699968,-3.669223e-09,0.0,4320973.0
-1.5999999999999996,0,-1.599982,-3.662332e-09,0.0,4066764.0
-1.5999999999999996,0,-1.599982,-3.698938e-09,0.0,4066622.0
-1.5999999999999996,0,-1.599985,-3.732169e-09,0.0,4066686.0
-1.5999999999999996,0,-1.599983,-3.651993e-09,0.0,4066492.0
-1.5999999999999996,0,-1.599983,-3.614395e-09,0.0,4066740.0
-1.5999999999999996,0,-1.599982,-3.668917e-09,0.0,4066700.0
-1.5999999999999996,0,-1.599981,-3.64893e-09,0.0,4066720.0
-1.5999999999999996,0,-1.599982,-3.667231e-09,0.0,4066675.0
-1.5999999999999996,0,-1.599982,-3.680709e-09,0.0,4066752.0
-1.5999999999999996,0,-1.59998,-3.725507e-09,0.0,4066885.0
-1.4999999999999996,0,-1.499963,-3.691813e-09,0.0,3812429.0
-1.4999999999999996,0,-1.499963,-3.664242e-09,0.0,3812429.0
-1.4999999999999996,0,-1.499964,-3.678412e-09,0.0,3812511.0
-1.4999999999999996,0,-1.499964,-3.650383e-09,0.0,3812419.0
-1.4999999999999996,0,-1.499964,-3.641654e-09,0.0,3812457.0
-1.4999999999999996,0,-1.499965,-3.641272e-09,0.0,3812588.0
-1.4999999999999996,0,-1.499964,-3.657044e-09,0.0,3812432.0
-1.4999999999999996,0,-1.499963,-3.64395e-09,0.0,3812436.0
-1.4999999999999996,0,-1.499963,-3.672364e-09,0.0,3812546.0
-1.4999999999999996,0,-1.499965,-3.685151e-09,0.0,3812476.0
-1.3999999999999995,0,-1.399982,-3.652374e-09,0.0,3558245.0
-1.3999999999999995,0,-1.399982,-3.71578e-09,0.0,3558223.0
-1.3999999999999995,0,-1.399983,-3.645021e-09,0.0,3558242.0
-1.3999999999999995,0,-1.399982,-3.666543e-09,0.0,3558286.0
-1.3999999999999995,0,-1.399982,-3.367809e-09,0.0,3558077.0
-1.3999999999999995,0,-1.399982,-3.365742e-09,0.0,3558136.0
-1.3999999999999995,0,-1.399982,-3.640583e-09,0.0,3558275.0
-1.3999999999999995,0,-1.399982,-3.642498e-09,0.0,3558281.0
-1.3999999999999995,0,-1.399983,-3.822836e-09,0.0,3558248.0
-1.3999999999999995,0,-1.399983,-3.627718e-09,0.0,3558294.0
-1.2999999999999994,0,-1.300004,-3.706131e-09,0.0,3303953.0
-1.2999999999999994,0,-1.300005,-3.646097e-09,0.0,3304036.0
-1.2999999999999994,0,-1.300003,-3.660568e-09,0.0,3303945.0
-1.2999999999999994,0,-1.300006,-3.704832e-09,0.0,3304072.0
-1.2999999999999994,0,-1.300002,-3.656892e-09,0.0,3303982.0
-1.2999999999999994,0,-1.300004,-3.685223e-09,0.0,3303823.0
-1.2999999999999994,0,-1.300004,-3.701232e-09,0.0,3303864.0
-1.2999999999999994,0,-1.300006,-3.642877e-09,0.0,3303956.0
-1.2999999999999994,0,-1.300005,-3.647167e-09,0.0,3304059.0
-1.2999999999999994,0,-1.300005,-3.65069e-09,0.0,3303896.0
-1.1999999999999993,0,-1.199984,-3.662861e-09,0.0,3049477.0
-1.1999999999999993,0,-1.199984,-3.667228e-09,0.0,3049540.0
-1.1999999999999993,0,-1.199985,-3.642419e-09,0.0,3049598.0
-1.1999999999999993,0,-1.199984,-3.693116e-09,0.0,3049563.0
-1.1999999999999993,0,-1.199986,-3.765557e-09,0.0,3049686.0
-1.1999999999999993,0,-1.199986,-3.762568e-09,0.0,3049513.0
-1.1999999999999993,0,-1.199984,-3.777886e-09,0.0,3049598.0
-1.1999999999999993,0,-1.199982,-3.819927e-09,0.0,3049656.0
-1.1999999999999993,0,-1.199983,-3.637597e-09,0.0,3049613.0
-1.1999999999999993,0,-1.199983,-3.614164e-09,0.0,3049570.0
-1.0999999999999992,0,-1.100001,-3.545012e-09,0.0,2795445.0
-1.0999999999999992,0,-1.1,-3.632922e-09,0.0,2795380.0
-1.0999999999999992,0,-1.1,-3.612094e-09,0.0,2795333.0
-1.0999999999999992,0,-1.100003,-3.679481e-09,0.0,2795499.0
-1.0999999999999992,0,-1.100003,-3.634913e-09,0.0,2795464.0
-1.0999999999999992,0,-1.100001,-3.647703e-09,0.0,2795410.0
-1.0999999999999992,0,-1.100001,-3.646554e-09,0.0,2795428.0
-1.0999999999999992,0,-1.099999,-3.670827e-09,0.0,2795391.0
-1.0999999999999992,0,-1.100002,-3.658042e-09,0.0,2795368.0
-1.0999999999999992,0,-1.100001,-3.969788e-09,0.0,2795355.0
-0.9999999999999992,0,-0.9999902,-3.603436e-09,0.0,2541146.0
-0.9999999999999992,0,-0.9999917,-3.611634e-09,0.0,2541105.0
-0.9999999999999992,0,-0.9999902,-3.645941e-09,0.0,2540958.0
-0.9999999999999992,0,-0.9999896,-3.372709e-09,0.0,2541100.0
-0.9999999999999992,0,-0.9999907,-3.626946e-09,0.0,2541091.0
-0.9999999999999992,0,-0.99999,-3.683462e-09,0.0,2541059.0
-0.9999999999999992,0,-0.9999915,-3.647467e-09,0.0,2540821.0
-0.9999999999999992,0,-0.9999907,-3.622046e-09,0.0,2541082.0
-0.9999999999999992,0,-0.9999909,-3.815941e-09,0.0,2541067.0
-0.9999999999999992,0,-0.99999,-3.626183e-09,0.0,2541101.0
-0.8999999999999992,0,-0.8999999,-3.642878e-09,0.0,2286762.0
-0.8999999999999992,0,-0.8999991,-3.647087e-09,0.0,2286753.0
-0.8999999999999992,0,-0.8999995,-3.489338e-09,0.0,2286766.0
-0.8999999999999992,0,-0.9000011,-3.666846e-09,0.0,2286650.0
-0.8999999999999992,0,-0.8999981,-3.710725e-09,0.0,2286659.0
-0.8999999999999992,0,-0.8999996,-3.718993e-09,0.0,2286620.0
-0.8999999999999992,0,-0.9000014,-3.638204e-09,0.0,2286704.0
-0.8999999999999992,0,-0.8999997,-3.645481e-09,0.0,2286823.0
-0.8999999999999992,0,-0.8999996,-3.600224e-09,0.0,2286752.0
-0.8999999999999992,0,-0.8999999,-3.666003e-09,0.0,2286815.0
-0.7999999999999993,0,-0.7999822,-3.627102e-09,0.0,2032558.0
-0.7999999999999993,0,-0.7999821,-3.657806e-09,0.0,2032536.0
-0.7999999999999993,0,-0.7999833,-3.648007e-09,0.0,2032025.0
-0.7999999999999993,0,-0.7999823,-3.664011e-09,0.0,2032410.0
-0.7999999999999993,0,-0.7999819,-3.661713e-09,0.0,2032468.0
-0.7999999999999993,0,-0.7999821,-3.650761e-09,0.0,2032424.0
-0.7999999999999993,0,-0.7999824,-3.636213e-09,0.0,2032293.0
-0.7999999999999993,0,-0.7999822,-3.624803e-09,0.0,2032426.0
-0.7999999999999993,0,-0.7999825,-3.635751e-09,0.0,2032490.0
-0.7999999999999993,0,-0.7999834,-3.658804e-09,0.0,2032234.0
-0.6999999999999993,0,-0.7000005,-3.616456e-09,0.0,1778158.0
-0.6999999999999993,0,-0.6999999,-3.638968e-09,0.0,1778174.0
-0.6999999999999993,0,-0.7000011,-3.626488e-09,0.0,1778130.0
-0.6999999999999993,0,-0.7,-3.791897e-09,0.0,1778176.0
-0.6999999999999993,0,-0.6999995,-3.614924e-09,0.0,1778114.0
-0.6999999999999993,0,-0.7000007,-3.417736e-09,0.0,1778152.0
-0.6999999999999993,0,-0.7000005,-3.575255e-09,0.0,1778235.0
-0.6999999999999993,0,-0.7000007,-3.636291e-09,0.0,1778094.0
-0.6999999999999993,0,-0.6999995,-3.537197e-09,0.0,1778005.0
-0.6999999999999993,0,-0.7000007,-3.566759e-09,0.0,1778184.0
-0.5999999999999993,0,-0.5999886,-3.61431e-09,0.0,1523774.0
-0.5999999999999993,0,-0.5999885,-3.620974e-09,0.0,1523757.0
-0.5999999999999993,0,-0.5999863,-3.67894e-09,0.0,1523783.0
-0.5999999999999993,0,-0.5999889,-3.642333e-09,0.0,1523816.0
-0.5999999999999993,0,-0.5999888,-3.632689e-09,0.0,1523800.0
-0.5999999999999993,0,-0.5999888,-3.620668e-09,0.0,1523803.0
-0.5999999999999993,0,-0.5999882,-3.62365e-09,0.0,1523683.0
-0.5999999999999993,0,-0.5999882,-3.648387e-09,0.0,1523770.0
-0.5999999999999993,0,-0.599988,-3.57234e-09,0.0,1523692.0
-0.5999999999999993,0,-0.5999887,-3.613623e-09,0.0,1523743.0
-0.49999999999999933,0,-0.5000052,-3.606957e-09,0.0,1269537.0
-0.49999999999999933,0,-0.5000051,-3.852925e-09,0.0,1269524.0
-0.49999999999999933,0,-0.5000044,-3.595703e-09,0.0,1269502.0
-0.49999999999999933,0,-0.5000048,-3.714629e-09,0.0,1269403.0
-0.49999999999999933,0,-0.5000035,-3.666767e-09,0.0,1269435.0
-0.49999999999999933,0,-0.5000046,-3.659874e-09,0.0,1269441.0
-0.49999999999999933,0,-0.5000046,-3.648311e-09,0.0,1269607.0
-0.49999999999999933,0,-0.5000044,-3.614004e-09,0.0,1269533.0
-0.49999999999999933,0,-0.5000044,-3.346977e-09,0.0,1269532.0
-0.49999999999999933,0,-0.5000051,-3.639581e-09,0.0,1269834.0
-0.39999999999999936,0,-0.399986,-3.619365e-09,0.0,1015137.0
-0.39999999999999936,0,-0.3999858,-3.602742e-09,0.0,1015262.0
-0.39999999999999936,0,-0.399986,-3.57962e-09,0.0,1015137.0
-0.39999999999999936,0,-0.3999866,-3.572115e-09,0.0,1015106.0
-0.39999999999999936,0,-0.3999847,-3.596694e-09,0.0,1015186.0
-0.39999999999999936,0,-0.3999852,-3.607572e-09,0.0,1015171.0
-0.39999999999999936,0,-0.3999856,-3.632304e-09,0.0,1015132.0
-0.39999999999999936,0,-0.3999852,-3.621127e-09,0.0,1015082.0
-0.39999999999999936,0,-0.3999854,-3.65482e-09,0.0,1015177.0
-0.39999999999999936,0,-0.3999871,-3.65972e-09,0.0,1015129.0
-0.2999999999999994,0,-0.2999952,-4.905563e-09,0.0,761049.0
-0.2999999999999994,0,-0.2999957,-3.709033e-09,0.0,760796.0
-0.2999999999999994,0,-0.2999946,-3.560091e-09,0.0,760975.0
-0.2999999999999994,0,-0.2999955,-3.593248e-09,0.0,761030.0
-0.2999999999999994,0,-0.2999948,-3.583293e-09,0.0,760969.0
-0.2999999999999994,0,-0.2999952,-3.620585e-09,0.0,760865.0
-0.2999999999999994,0,-0.2999932,-3.61224e-09,0.0,760841.0
-0.2999999999999994,0,-0.2999952,-3.626637e-09,0.0,760860.0
-0.2999999999999994,0,-0.2999949,-3.627099e-09,0.0,760956.0
-0.2999999999999994,0,-0.2999947,-3.65076e-09,0.0,760740.0
-0.19999999999999937,0,-0.1999979,-3.646698e-09,0.0,506715.0
-0.19999999999999937,0,-0.1999978,-3.598686e-09,0.0,506722.0
-0.19999999999999937,0,-0.1999968,-3.599985e-09,0.0,506499.0
-0.19999999999999937,0,-0.1999971,-3.76685e-09,0.0,506587.0
-0.19999999999999937,0,-0.1999968,-3.385724e-09,0.0,506658.0
-0.19999999999999937,0,-0.1999969,-3.616681e-09,0.0,506442.0
-0.19999999999999937,0,-0.1999975,-5.070742e-09,0.0,506402.0
-0.19999999999999937,0,-0.1999978,-3.52609e-09,0.0,506450.0
-0.19999999999999937,0,-0.199997,-3.657878e-09,0.0,506447.0
-0.19999999999999937,0,-0.1999975,-3.688125e-09,0.0,506382.0
-0.09999999999999937,0,-0.1000015,-3.65972e-09,0.0,252222.0
-0.09999999999999937,0,-0.100002,-3.694869e-09,0.0,251925.0
-0.09999999999999937,0,-0.1000016,-3.651986e-09,0.0,251967.0
-0.09999999999999937,0,-0.1000013,-3.697624e-09,0.0,251951.0
-0.09999999999999937,0,-0.1000018,-3.661017e-09,0.0,251897.0
-0.09999999999999937,0,-0.1000018,-3.65566e-09,0.0,252001.0
-0.09999999999999937,0,-0.1000013,-3.682998e-09,0.0,251835.0
-0.09999999999999937,0,-0.1000033,-3.639349e-09,0.0,251968.0
-0.09999999999999937,0,-0.1000015,-3.758963e-09,0.0,252074.0
-0.09999999999999937,0,-0.1000014,-3.66661e-09,0.0,252042.0
6.38378239159465e-16,0,6.094495e-06,-3.841895e-09,0.0,-2330.0
6.38378239159465e-16,0,4.725611e-06,-3.937465e-09,0.0,-2140.0
6.38378239159465e-16,0,6.505055e-06,-3.663389e-09,0.0,-2302.0
6.38378239159465e-16,0,6.778973e-06,-3.6418e-09,0.0,-2332.0
6.38378239159465e-16,0,5.957503e-06,-3.72167e-09,0.0,-2379.0
6.38378239159465e-16,0,5.683803e-06,-3.665844e-09,0.0,-2212.0
6.38378239159465e-16,0,5.409987e-06,-3.693565e-09,0.0,-2188.0
