V,I,V_in,I_in,I_sps,V_sps
-2.0,0,-1.999979,-5.085216e-09,0.0,5082019.0
-2.0,0,-1.999984,-5.196873e-09,0.0,5082031.0
-2.0,0,-1.999984,-5.191433e-09,0.0,5082127.0
-2.0,0,-1.999984,-5.332415e-09,0.0,5081955.0
-2.0,0,-1.999982,-5.202154e-09,0.0,5082059.0
-2.0,0,-1.999982,-5.324143e-09,0.0,5081978.0
-2.0,0,-1.999983,-5.246339e-09,0.0,5081973.0
-2.0,0,-1.999981,-5.078096e-09,0.0,5082051.0
-2.0,0,-1.999981,-5.193808e-09,0.0,5082073.0
-2.0,0,-1.999982,-5.172442e-09,0.0,5082007.0
-1.9,0,-1.899962,-5.1801e-09,0.0,4827882.0
-1.9,0,-1.899966,-4.889412e-09,0.0,4827732.0
-1.9,0,-1.899966,-5.162336e-09,0.0,4827840.0
-1.9,0,-1.899967,-5.12443e-09,0.0,4827819.0
-1.9,0,-1.899966,-5.139667e-09,0.0,4827737.0
-1.9,0,-1.899966,-5.151998e-09,0.0,4827882.0
-1.9,0,-1.899965,-5.104516e-09,0.0,4827835.0
-1.9,0,-1.899966,-5.117537e-09,0.0,4827851.0
-1.9,0,-1.899966,-5.119372e-09,0.0,4827827.0
-1.9,0,-1.899967,-5.128945e-09,0.0,4827863.0
-1.7999999999999998,0,-1.799984,-5.078785e-09,0.0,4573601.0
-1.7999999999999998,0,-1.799983,-5.109031e-09,0.0,4573602.0
-1.7999999999999998,0,-1.799983,-5.098768e-09,0.0,4573675.0
-1.7999999999999998,0,-1.799982,-5.087669e-09,0.0,4573693.0
-1.7999999999999998,0,-1.799982,-4.995006e-09,0.0,4573709.0
-1.7999999999999998,0,-1.799983,-5.119142e-09,0.0,4573717.0
-1.7999999999999998,0,-1.799982,-5.086063e-09,0.0,4573561.0
-1.7999999999999998,0,-1.799981,-5.10964e-09,0.0,4573636.0
-1.7999999999999998,0,-1.799983,-5.101978e-09,0.0,4573779.0
-1.7999999999999998,0,-1.799984,-5.097165e-09,0.0,4573720.0
-1.6999999999999997,0,-1.699968,-4.814893e-09,0.0,4319512.0
-1.6999999999999997,0,-1.699968,-5.050978e-09,0.0,4319463.0
-1.6999999999999997,0,-1.699967,-5.10421e-09,0.0,4319350.0
-1.6999999999999997,0,-1.699968,-5.08353e-09,0.0,4319460.0
-1.6999999999999997,0,-1.699968,-5.090581e-09,0.0,4319651.0
-1.6999999999999997,0,-1.699968,-5.092718e-09,0.0,4319412.0
-1.6999999999999997,0,-1.699967,-5.384944e-09,0.0,4319411.0
-1.6999999999999997,0,-1.699967,-5.092874e-09,0.0,4319380.0
-1.6999999999999997,0,-1.699968,-5.082004e-09,0.0,4319321.0
-1.6999999999999997,0,-1.699966,-5.076717e-09,0.0,4319540.0
-1.5999999999999996,0,-1.59998,-5.080162e-09,0.0,4065353.0
-1.5999999999999996,0,-1.59998,-5.206287e-09,0.0,4065187.0
-1.5999999999999996,0,-1.599982,-5.398646e-09,0.0,4065157.0
-1.5999999999999996,0,-1.599979,-5.153215e-09,0.0,4065264.0
-1.5999999999999996,0,-1.599982,-5.204139e-09,0.0,4065230.0
-1.5999999999999996,0,-1.59998,-5.512445e-09,0.0,4064842.0
-1.5999999999999996,0,-1.599981,-4.653931e-09,0.0,4065163.0
-1.5999999999999996,0,-1.599982,-4.657685e-09,0.0,4065221.0
-1.5999999999999996,0,-1.599981,-5.763849e-09,0.0,4065174.0
-1.5999999999999996,0,-1.599981,-5.089659e-09,0.0,4065073.0
-1.4999999999999996,0,-1.499965,-5.100067e-09,0.0,3811099.0
-1.4999999999999996,0,-1.499964,-5.069054e-09,0.0,3811127.0
-1.4999999999999996,0,-1.499963,-5.079853e-09,0.0,3811088.0
-1.4999999999999996,0,-1.499963,-5.051218e-09,0.0,3811096.0
-1.4999999999999996,0,-1.499963,-5.11508e-09,0.0,3811035.0
-1.4999999999999996,0,-1.499965,-5.107955e-09,0.0,3810943.0
-1.4999999999999996,0,-1.499962,-5.11439e-09,0.0,3810893.0
-1.4999999999999996,0,-1.499967,-5.133692e-09,0.0,3810940.0
-1.4999999999999996,0,-1.499963,-5.116002e-09,0.0,3811042.0
-1.4999999999999996,0,-1.499965,-5.095708e-09,0.0,3810867.0
-1.3999999999999995,0,-1.399981,-5.161634e-09,0.0,3556770.0
-1.3999999999999995,0,-1.399981,-5.099384e-09,0.0,3556789.0
-1.3999999999999995,0,-1.39998,-5.114927e-09,0.0,3556954.0
-1.3999999999999995,0,-1.399981,-5.093176e-09,0.0,3556967.0
-1.3999999999999995,0,-1.399982,-5.062012e-09,0.0,3556950.0
-1.3999999999999995,0,-1.399982,-5.086289e-09,0.0,3557066.0
-1.3999999999999995,0,-1.399983,-5.043022e-09,0.0,3557018.0
-1.3999999999999995,0,-1.399981,-5.074956e-09,0.0,3556949.0
-1.3999999999999995,0,-1.39998,-5.30507e-09,0.0,3556908.0
-1.3999999999999995,0,-1.399982,-5.409828e-09,0.0,3556662.0
-1.2999999999999994,0,-1.300004,-5.408604e-09,0.0,3302432.0
-1.2999999999999994,0,-1.300004,-5.233161e-09,0.0,3302394.0
-1.2999999999999994,0,-1.300003,-5.124192e-09,0.0,3302340.0
