V,V_in,I_in,V_i,V_2x
0.49999999999999994,0.5000146,-6.988699e-09,0.0,15448893.0
0.5499999999999999,0.5499888,-6.97499e-09,0.0,15451795.0
0.5499999999999999,0.5499901,-6.968476e-09,0.0,15323946.0
0.5499999999999999,0.5499905,-6.982264e-09,0.0,15325387.0
0.5499999999999999,0.5499908,-6.965499e-09,0.0,15325959.0
0.5499999999999999,0.5499901,-6.955925e-09,0.0,15325872.0
0.5499999999999999,0.5499907,-6.965954e-09,0.0,15325557.0
0.5499999999999999,0.5499908,-6.986252e-09,0.0,15325017.0
0.5499999999999999,0.5499919,-6.967795e-09,0.0,15325092.0
0.5499999999999999,0.549991,-6.97576e-09,0.0,15323059.0
0.5499999999999999,0.5499905,-6.980355e-09,0.0,15325028.0
0.6,0.6000018,-6.973234e-09,0.0,15325575.0
0.6,0.6000012,-6.970017e-09,0.0,15207071.0
0.6,0.6000012,-6.943749e-09,0.0,15210827.0
0.6,0.6000012,-6.930731e-09,0.0,15208452.0
0.6,0.6000015,-6.961359e-09,0.0,15209792.0
0.6,0.6000015,-6.963273e-09,0.0,15207812.0
0.6,0.6000026,-6.947336e-09,0.0,15208647.0
0.6,0.600002,-6.966177e-09,0.0,15207704.0
0.6,0.6000023,-6.982956e-09,0.0,15208938.0
0.6,0.6000012,-6.959747e-09,0.0,15207910.0
0.65,0.6500096,-6.981567e-09,0.0,15206493.0
0.65,0.65001,-6.976673e-09,0.0,15092987.0
0.65,0.6500104,-7.007379e-09,0.0,15090967.0
0.65,0.6500105,-6.998117e-09,0.0,15087096.0
0.65,0.6500103,-7.011593e-09,0.0,15092622.0
0.65,0.6500111,-6.94222e-09,0.0,15095441.0
0.65,0.6500092,-6.956529e-09,0.0,15091252.0
0.65,0.65001,-6.947654e-09,0.0,15086927.0
0.65,0.6500121,-6.961749e-09,0.0,15093328.0
0.65,0.6500114,-6.958455e-09,0.0,15094587.0
0.7000000000000001,0.6999785,-6.94635e-09,0.0,15096751.0
0.7000000000000001,0.6999785,-6.979581e-09,0.0,14977043.0
0.7000000000000001,0.6999782,-6.893282e-09,0.0,14979034.0
0.7000000000000001,0.6999794,-7.020253e-09,0.0,14977434.0
0.7000000000000001,0.6999788,-7.027821e-09,0.0,14975654.0
0.7000000000000001,0.6999786,-7.134962e-09,0.0,14978933.0
0.7000000000000001,0.6999772,-6.983568e-09,0.0,14976819.0
0.7000000000000001,0.6999796,-6.830645e-09,0.0,14976306.0
0.7000000000000001,0.6999786,-7.009907e-09,0.0,14977280.0
0.7000000000000001,0.6999801,-6.981119e-09,0.0,14978006.0
0.7500000000000001,0.7499906,-7.021082e-09,0.0,14977724.0
0.7500000000000001,0.7499918,-6.995586e-09,0.0,14863863.0
0.7500000000000001,0.7499923,-6.979808e-09,0.0,14851190.0
0.7500000000000001,0.7499919,-6.996351e-09,0.0,14865552.0
0.7500000000000001,0.7499921,-6.984946e-09,0.0,14858155.0
0.7500000000000001,0.7499917,-6.912118e-09,0.0,14865842.0
0.7500000000000001,0.7499896,-7.005704e-09,0.0,14865009.0
0.7500000000000001,0.7499913,-7.002024e-09,0.0,14869369.0
0.7500000000000001,0.7499908,-6.969708e-09,0.0,14861566.0
0.7500000000000001,0.7499911,-6.940295e-09,0.0,14863591.0
0.8000000000000002,0.7999941,-6.998879e-09,0.0,14864509.0
0.8000000000000002,0.7999955,-7.004242e-09,0.0,14750189.0
0.8000000000000002,0.7999957,-7.029667e-09,0.0,14751677.0
0.8000000000000002,0.799995,-6.998886e-09,0.0,14749813.0
0.8000000000000002,0.7999953,-6.982107e-09,0.0,14749599.0
0.8000000000000002,0.799996,-6.98763e-09,0.0,14750088.0
0.8000000000000002,0.7999965,-7.02285e-09,0.0,14749601.0
0.8000000000000002,0.7999952,-6.979583e-09,0.0,14749664.0
0.8000000000000002,0.7999955,-7.008456e-09,0.0,14750317.0
0.8000000000000002,0.7999951,-6.986938e-09,0.0,14750354.0
0.8500000000000002,0.8499722,-6.963814e-09,0.0,14749093.0
0.8500000000000002,0.8499736,-6.955998e-09,0.0,14635637.0
0.8500000000000002,0.8499722,-6.972227e-09,0.0,14630501.0
0.8500000000000002,0.8499734,-6.957605e-09,0.0,14631617.0
0.8500000000000002,0.849973,-6.973917e-09,0.0,14635331.0
0.8500000000000002,0.8499735,-6.973922e-09,0.0,14634882.0
0.8500000000000002,0.8499727,-6.978741e-09,0.0,14637684.0
0.8500000000000002,0.8499739,-6.975372e-09,0.0,14640540.0
0.8500000000000002,0.8499733,-6.957759e-09,0.0,14640058.0
0.8500000000000002,0.8499736,-6.962043e-09,0.0,14632121.0
0.9000000000000002,0.8999816,-6.96534e-09,0.0,14638166.0
0.9000000000000002,0.8999834,-6.948419e-09,0.0,14522136.0
0.9000000000000002,0.8999841,-6.958754e-09,0.0,14521318.0
0.9000000000000002,0.8999847,-6.946266e-09,0.0,14521338.0
0.9000000000000002,0.899984,-6.942979e-09,0.0,14521577.0
0.9000000000000002,0.8999844,-6.958448e-09,0.0,14523544.0
0.9000000000000002,0.8999843,-6.960593e-09,0.0,14521377.0
0.9000000000000002,0.8999847,-6.95462e-09,0.0,14522440.0
0.9000000000000002,0.8999835,-6.975595e-09,0.0,14521062.0
0.9000000000000002,0.8999834,-6.950564e-09,0.0,14521071.0
