V,V_in,I_in,V_i,V_2x,T
0.1,0.1000799,5.064094e-05,0.210601,0.109647,22.129999
0.1,0.1000806,5.063925e-05,0.210516,0.109135,22.16
0.1,0.100079,5.063967e-05,0.210605,0.109554,22.16
0.1,0.1000786,5.06392e-05,0.210516,0.109566,22.15
0.1,0.1000784,5.063952e-05,0.210476,0.109667,22.15
0.1,0.1000779,5.063872e-05,0.21058,0.109349,22.139999
0.1,0.1000788,5.063885e-05,0.210456,0.109631,22.15
0.1,0.1000779,5.063893e-05,0.21046,0.109643,22.139999
0.1,0.1000783,5.063887e-05,0.210524,0.109586,22.139999
0.1,0.1000794,5.063878e-05,0.210621,0.109441,22.139999
0.1,0.1000779,5.063915e-05,0.210601,0.109655,22.139999
0.1,0.1000794,5.063972e-05,0.210508,0.109518,22.139999
0.1,0.1000782,5.063928e-05,0.210544,0.109321,22.139999
0.1,0.1000769,5.063921e-05,0.210464,0.109437,22.129999
0.1,0.100078,5.063992e-05,0.210419,0.10947,22.139999
0.1,0.1000779,5.064026e-05,0.210621,0.109208,22.139999
0.1,0.1000784,5.06396e-05,0.210564,0.109433,22.129999
0.1,0.1000786,5.064042e-05,0.210552,0.109518,22.129999
0.1,0.1000788,5.064031e-05,0.210435,0.109119,22.129999
0.1,0.100079,5.063998e-05,0.21056,0.109417,22.129999
0.1,0.1000805,5.064006e-05,0.210383,0.109542,22.120001
0.1,0.1000786,5.063931e-05,0.210395,0.109514,22.129999
0.1,0.1000794,5.063964e-05,0.210584,0.109639,22.120001
0.1,0.1000786,5.063946e-05,0.210443,0.109647,22.120001
0.1,0.1000787,5.063977e-05,0.210593,0.109103,22.110001
0.1,0.1000785,5.064038e-05,0.210584,0.109449,22.1
0.1,0.1000789,5.063926e-05,0.210423,0.109377,22.110001
0.1,0.1000798,5.064024e-05,0.210544,0.109542,22.110001
0.1,0.1000797,5.063939e-05,0.210532,0.109244,22.1
0.1,0.1000787,5.064012e-05,0.21058,0.109035,22.1
0.1,0.1000801,5.063985e-05,0.210468,0.109393,22.1
0.1,0.1000795,5.064029e-05,0.210464,0.109317,22.1
0.1,0.1000797,5.063995e-05,0.210464,0.109308,22.09
0.1,0.1000793,5.063917e-05,0.2105,0.109514,22.09
0.1,0.1000792,5.063914e-05,0.210597,0.109615,22.09
0.1,0.1000787,5.063916e-05,0.210564,0.109574,22.09
0.1,0.1000792,5.063889e-05,0.210472,0.109458,22.08
0.1,0.1000801,5.063945e-05,0.210564,0.109216,22.09
0.1,0.1000794,5.063966e-05,0.210431,0.108962,22.08
0.1,0.1000794,5.063921e-05,0.210468,0.109139,22.08
0.1,0.10008,5.063859e-05,0.210448,0.109663,22.08
0.1,0.1000795,5.063911e-05,0.210508,0.109002,22.08
0.1,0.1000791,5.063943e-05,0.210427,0.10951,22.09
0.1,0.1000801,5.063964e-05,0.21052,0.109115,22.07
0.1,0.10008,5.064019e-05,0.210456,0.109494,22.08
0.1,0.1000799,5.063942e-05,0.210665,0.109304,22.08
0.1,0.1000794,5.063948e-05,0.210431,0.109224,22.09
0.1,0.1000799,5.06398e-05,0.210504,0.10928,22.07
0.1,0.1000795,5.063961e-05,0.210484,0.109047,22.07
0.1,0.1000815,5.063966e-05,0.210456,0.109449,22.07
0.1,0.1000811,5.064049e-05,0.2105,0.109224,22.08
0.1,0.1000795,5.063932e-05,0.210548,0.109337,22.08
0.1,0.1000805,5.063958e-05,0.210613,0.109466,22.07
0.1,0.1000806,5.06388e-05,0.210484,0.109043,22.07
0.1,0.1000807,5.063927e-05,0.210512,0.109562,22.07
0.1,0.10008,5.063965e-05,0.210512,0.10918,22.07
0.1,0.1000808,5.063991e-05,0.21056,0.109691,22.08
0.1,0.1000808,5.063921e-05,0.210508,0.109566,22.07
0.1,0.1000799,5.063932e-05,0.210508,0.109176,22.07
0.1,0.1000804,5.063856e-05,0.210601,0.109272,22.07
0.1,0.1000806,5.063896e-05,0.210552,0.109502,22.07
0.1,0.1000799,5.063894e-05,0.210508,0.108962,22.07
0.1,0.1000794,5.063881e-05,0.210536,0.109619,22.059999
0.1,0.1000805,5.0639e-05,0.210576,0.109566,22.07
0.1,0.1000789,5.06396e-05,0.210524,0.10949,22.059999
0.1,0.100079,5.063995e-05,0.210472,0.109308,22.059999
0.1,0.1000797,5.063922e-05,0.210633,0.109075,22.07
0.1,0.1000791,5.063966e-05,0.210532,0.109458,22.07
0.1,0.1000807,5.063928e-05,0.210661,0.109534,22.07
0.1,0.1000797,5.063913e-05,0.210564,0.1093,22.059999
0.1,0.1000797,5.063864e-05,0.21054,0.109224,22.07
0.1,0.100079,5.063959e-05,0.210496,0.10955,22.059999
0.1,0.1000806,5.063856e-05,0.210524,0.1093,22.059999
0.1,0.1000784,5.063921e-05,0.210443,0.109647,22.059999
0.1,0.1000781,5.063956e-05,0.210641,0.109449,22.059999
0.1,0.1000779,5.0639e-05,0.210411,0.109401,22.07
0.1,0.1000778,5.063878e-05,0.210488,0.109357,22.059999
0.1,0.100078,5.063917e-05,0.210597,0.109453,22.07
0.1,0.1000784,5.063988e-05,0.210468,0.109474,22.059999
0.1,0.1000784,5.06383e-05,0.210512,0.109731,22.07
0.1,0.1000778,5.063929e-05,0.210532,0.109131,22.07
0.1,0.1000768,5.063839e-05,0.210488,0.109196,22.059999
0.1,0.1000764,5.063889e-05,0.21058,0.109224,22.07
0.1,0.1000771,5.063895e-05,0.210484,0.109816,22.059999
0.1,0.1000771,5.063869e-05,0.2105,0.109683,22.07
0.1,0.1000768,5.063884e-05,0.210359,0.109087,22.07
0.1,0.1000779,5.063875e-05,0.210448,0.109127,22.07
0.1,0.1000763,5.063927e-05,0.2105,0.109643,22.07
0.1,0.1000779,5.063942e-05,0.2105,0.109731,22.07
0.1,0.1000794,5.063988e-05,0.210464,0.109756,22.07
0.1,0.1000784,5.063918e-05,0.210476,0.109119,22.07
0.1,0.1000795,5.064017e-05,0.210605,0.109727,22.059999
0.1,0.1000799,5.063971e-05,0.210528,0.109292,22.07
0.1,0.1000776,5.064006e-05,0.210399,0.109868,22.07
0.1,0.100079,5.063988e-05,0.210472,0.109401,22.07
0.1,0.1000787,5.064027e-05,0.210568,0.109615,22.07
0.1,0.1000785,5.064017e-05,0.210508,0.109441,22.07
0.1,0.1000789,5.064078e-05,0.210516,0.109155,22.07
0.1,0.1000791,5.064072e-05,0.210536,0.109204,22.059999
0.1,0.1000793,5.064082e-05,0.210488,0.109224,22.07
0.15000000000000002,0.1501154,7.099998e-05,0.310362,0.161999,22.07
0.15000000000000002,0.1501144,7.099927e-05,0.310281,0.161898,22.07
0.15000000000000002,0.1501134,7.09998e-05,0.310189,0.161644,22.07
0.15000000000000002,0.1501141,7.09987e-05,0.310438,0.161987,22.07
0.15000000000000002,0.1501132,7.099891e-05,0.31033,0.161886,22.07
0.15000000000000002,0.1501136,7.09993e-05,0.310289,0.161358,22.07
0.15000000000000002,0.1501137,7.099965e-05,0.310245,0.16162,22.09
0.15000000000000002,0.1501132,7.099892e-05,0.310281,0.161648,22.08
0.15000000000000002,0.1501135,7.099977e-05,0.310269,0.1621,22.07
