V,V_in,I_in,V_i,V_2x,T
0.1,0.1000769,5.067846e-05,0.207479,0.107403,21.42
0.1,0.1000753,5.067866e-05,0.207583,0.107298,21.629999
0.1,0.1000748,5.067761e-05,0.207535,0.107411,21.629999
0.1,0.1000741,5.067751e-05,0.20764,0.107282,21.639999
0.1,0.1000765,5.067684e-05,0.207551,0.107331,21.639999
0.1,0.1000741,5.067659e-05,0.207559,0.107375,21.639999
0.1,0.100073,5.067721e-05,0.207563,0.107423,21.65
0.1,0.1000733,5.067706e-05,0.207591,0.107061,21.639999
0.1,0.1000722,5.067681e-05,0.207475,0.107407,21.65
0.1,0.1000741,5.067673e-05,0.207612,0.10721,21.65
0.1,0.1000748,5.067666e-05,0.207495,0.107371,21.66
0.1,0.100075,5.067678e-05,0.207612,0.107355,21.66
0.1,0.1000752,5.067632e-05,0.207531,0.107278,21.65
0.1,0.1000747,5.067622e-05,0.207559,0.107318,21.65
0.1,0.1000736,5.067681e-05,0.207527,0.107323,21.639999
0.1,0.1000738,5.0677e-05,0.207551,0.107282,21.66
0.1,0.1000728,5.067684e-05,0.207583,0.107218,21.65
0.1,0.1000748,5.067642e-05,0.207583,0.107258,21.65
0.1,0.1000731,5.067545e-05,0.207551,0.107331,21.65
0.1,0.1000749,5.067628e-05,0.207595,0.10719,21.65
0.1,0.1000742,5.067639e-05,0.207531,0.107439,21.65
0.1,0.1000752,5.067704e-05,0.207571,0.107415,21.65
0.1,0.1000745,5.067724e-05,0.207543,0.107331,21.65
0.1,0.1000741,5.067654e-05,0.207608,0.107351,21.65
0.1,0.1000757,5.067669e-05,0.207555,0.107375,21.65
0.1,0.1000751,5.067623e-05,0.207515,0.107363,21.65
0.1,0.1000745,5.067636e-05,0.207547,0.107254,21.639999
0.1,0.1000734,5.067515e-05,0.207523,0.107335,21.629999
0.1,0.1000746,5.067515e-05,0.207519,0.107427,21.629999
0.1,0.1000728,5.06741e-05,0.207583,0.107528,21.639999
0.1,0.1000743,5.067408e-05,0.207487,0.107266,21.639999
0.1,0.1000746,5.067509e-05,0.207483,0.107274,21.629999
0.1,0.1000735,5.067482e-05,0.207583,0.107226,21.639999
0.1,0.1000743,5.067524e-05,0.207535,0.107202,21.629999
0.1,0.1000735,5.067493e-05,0.207531,0.107536,21.629999
0.1,0.100075,5.067538e-05,0.207531,0.107592,21.639999
0.1,0.1000741,5.067492e-05,0.207563,0.107282,21.629999
0.1,0.1000739,5.067487e-05,0.207604,0.107439,21.629999
0.1,0.1000752,5.067497e-05,0.207555,0.107306,21.629999
0.1,0.1000742,5.067469e-05,0.207491,0.107254,21.629999
0.1,0.1000742,5.067464e-05,0.207555,0.107306,21.629999
0.1,0.1000753,5.067466e-05,0.207599,0.107455,21.629999
0.1,0.1000736,5.067422e-05,0.207547,0.107274,21.620001
0.1,0.100074,5.067438e-05,0.20762,0.107395,21.610001
0.1,0.1000735,5.067498e-05,0.207547,0.107258,21.620001
0.1,0.1000726,5.067602e-05,0.207527,0.107387,21.610001
0.1,0.1000736,5.067576e-05,0.207519,0.107476,21.610001
