V,V_in,I_in,V_i,V_2x,T
0.7999999999999999,0.8000444,0.0003353511,1.603944,0.811175,23.66
0.7999999999999999,0.8000438,0.0003353524,1.603948,0.811147,23.66
0.7999999999999999,0.8000441,0.0003353513,1.60396,0.811114,23.65
0.7999999999999999,0.8000455,0.0003353509,1.604001,0.810736,23.65
0.7999999999999999,0.8000445,0.0003353512,1.603972,0.811296,23.66
0.7999999999999999,0.8000442,0.0003353513,1.603932,0.81084,23.65
0.8999999999999999,0.8999684,0.0003760096,1.803153,0.911565,23.65
0.8999999999999999,0.8999671,0.0003760101,1.803108,0.911661,23.66
0.8999999999999999,0.8999678,0.0003760107,1.803181,0.911577,23.65
0.8999999999999999,0.8999684,0.0003760102,1.803157,0.91175,23.66
0.8999999999999999,0.8999689,0.00037601,1.803104,0.911488,23.66
0.8999999999999999,0.8999683,0.0003760095,1.803261,0.911569,23.66
0.8999999999999999,0.8999679,0.0003760091,1.803153,0.911847,23.66
0.8999999999999999,0.8999677,0.0003760085,1.803165,0.911476,23.66
0.8999999999999999,0.899968,0.0003760085,1.803241,0.911577,23.65
0.8999999999999999,0.8999682,0.0003760102,1.803145,0.911681,23.65
0.9999999999999999,0.99998,0.000416705,2.00272,1.012083,23.65
0.9999999999999999,0.9999798,0.0004167044,2.002631,1.012418,23.65
0.9999999999999999,0.9999778,0.0004167056,2.002607,1.012301,23.66
0.9999999999999999,0.9999802,0.0004167054,2.002671,1.01214,23.66
0.9999999999999999,0.9999794,0.0004167053,2.002667,1.01243,23.65
0.9999999999999999,0.9999819,0.0004167056,2.002623,1.012349,23.66
0.9999999999999999,0.9999803,0.0004167065,2.002708,1.012542,23.66
0.9999999999999999,0.9999813,0.0004167055,2.002667,1.012361,23.66
0.9999999999999999,0.9999787,0.0004167061,2.002857,1.012426,23.66
0.9999999999999999,0.9999802,0.0004167055,2.002659,1.012454,23.66
1.0999999999999999,1.100017,0.0004574141,2.201868,1.113267,23.66
1.0999999999999999,1.100017,0.0004574155,2.201908,1.113263,23.66
1.0999999999999999,1.100016,0.0004574155,2.201952,1.113025,23.66
1.0999999999999999,1.100017,0.0004574157,2.201985,1.113033,23.67
1.0999999999999999,1.100017,0.0004574157,2.201892,1.113234,23.66
1.0999999999999999,1.100017,0.0004574167,2.201973,1.113331,23.66
1.0999999999999999,1.100018,0.0004574177,2.201977,1.113162,23.67
1.0999999999999999,1.100018,0.0004574167,2.201944,1.113077,23.67
1.0999999999999999,1.10002,0.0004574162,2.201997,1.113255,23.66
1.0999999999999999,1.100018,0.0004574163,2.202017,1.112844,23.66
1.2,1.19994,0.0004982384,2.396996,1.213644,23.66
1.2,1.19994,0.0004982416,2.396939,1.213515,23.66
1.2,1.19994,0.0004982428,2.39683,1.21364,23.66
1.2,1.19994,0.000498244,2.396879,1.213777,23.66
1.2,1.199939,0.0004982436,2.396923,1.213576,23.67
1.2,1.199942,0.0004982463,2.396802,1.213753,23.66
1.2,1.19994,0.0004982462,2.397024,1.213781,23.66
1.2,1.199942,0.0004982472,2.396907,1.213753,23.66
1.2,1.19994,0.0004982456,2.396875,1.213822,23.65
1.2,1.199939,0.0004982458,2.396927,1.213713,23.66
1.3,1.299986,0.0005436832,2.451684,1.314139,23.66
1.3,1.299988,0.0005436999,2.451434,1.313821,23.66
1.3,1.299987,0.0005437103,2.451249,1.314086,23.66
1.3,1.299987,0.0005437137,2.451229,1.313728,23.66
1.3,1.299989,0.0005437196,2.45112,1.313728,23.66
1.3,1.299989,0.0005437235,2.451084,1.313792,23.66
1.3,1.299989,0.0005437241,2.451072,1.313579,23.66
1.3,1.299987,0.0005437272,2.451088,1.313945,23.66
1.3,1.299989,0.0005437286,2.450979,1.313712,23.66
1.3,1.299989,0.0005437313,2.451019,1.313941,23.65
1.4000000000000001,1.399969,0.0005891355,2.45112,1.414307,23.66
1.4000000000000001,1.39997,0.000589137,2.451189,1.414412,23.66
1.4000000000000001,1.39997,0.0005891371,2.451148,1.414392,23.66
1.4000000000000001,1.399969,0.000589136,2.451092,1.414428,23.65
1.4000000000000001,1.399968,0.0005891372,2.451112,1.414464,23.65
1.4000000000000001,1.399969,0.0005891368,2.451035,1.41452,23.65
1.4000000000000001,1.399968,0.0005891379,2.451128,1.414762,23.65
1.4000000000000001,1.399969,0.0005891382,2.451068,1.414432,23.65
1.4000000000000001,1.399969,0.000589136,2.451003,1.414549,23.67
1.4000000000000001,1.399969,0.0005891389,2.451064,1.414553,23.66
1.5000000000000002,1.499938,0.0006309702,2.45112,1.514934,23.66
1.5000000000000002,1.499935,0.0006309694,2.451152,1.515027,23.66
1.5000000000000002,1.499936,0.0006309703,2.451128,1.514971,23.66
1.5000000000000002,1.499937,0.0006309691,2.451136,1.514926,23.66
1.5000000000000002,1.499935,0.0006309691,2.451148,1.515168,23.66
1.5000000000000002,1.499936,0.0006309699,2.451064,1.515108,23.66
1.5000000000000002,1.499938,0.0006309706,2.451031,1.514906,23.65
1.5000000000000002,1.499938,0.0006309718,2.450975,1.515079,23.66
1.5000000000000002,1.499937,0.0006309708,2.450987,1.515112,23.66
1.5000000000000002,1.499937,0.0006309716,2.451088,1.514818,23.66
1.6000000000000003,1.599984,0.0006731391,2.45112,1.615566,23.67
1.6000000000000003,1.599985,0.0006731396,2.451011,1.615916,23.66
1.6000000000000003,1.599984,0.0006731392,2.451132,1.615598,23.66
1.6000000000000003,1.599984,0.0006731392,2.451015,1.615626,23.65
1.6000000000000003,1.599984,0.0006731389,2.451197,1.615441,23.66
1.6000000000000003,1.599983,0.0006731379,2.45106,1.615489,23.67
1.6000000000000003,1.599981,0.0006731401,2.45112,1.615719,23.67
1.6000000000000003,1.599983,0.0006731399,2.450999,1.615642,23.66
1.6000000000000003,1.599982,0.0006731394,2.45114,1.615804,23.66
1.6000000000000003,1.599983,0.0006731411,2.451068,1.615526,23.66
1.7000000000000004,1.699915,0.0007221404,2.451056,1.716048,23.66
