V,V_in,I_in,V_i,V_2x
0.5499999999999999,0.5500338,0.0002336014,0.55901,1.104976
0.5499999999999999,0.5500329,0.0002336007,0.558845,1.104908
0.5499999999999999,0.5500325,0.0002335997,0.559211,1.104968
0.5499999999999999,0.550033,0.0002335988,0.559425,1.1049
0.5499999999999999,0.5500339,0.0002335994,0.559425,1.104888
0.5499999999999999,0.5500335,0.0002335995,0.559151,1.104952
0.6,0.5999967,0.000253928,0.609203,1.204581
0.6,0.5999964,0.0002539281,0.609094,1.204645
0.6,0.599996,0.0002539296,0.609674,1.204528
0.6,0.5999286,0.0002539287,0.606339,1.204589
0.6,0.5999959,0.0002539295,0.609247,1.204613
0.6,0.5999964,0.0002539292,0.60938,1.204593
0.6,0.5999957,0.0002539298,0.609332,1.204685
0.6,0.5999938,0.0002539288,0.609364,1.204564
0.6,0.5999936,0.000253929,0.609271,1.204577
0.6,0.5999968,0.0002539281,0.609348,1.204701
0.65,0.6499646,0.0002742594,0.65996,1.304161
0.65,0.6499636,0.0002742595,0.659766,1.304128
0.65,0.6499641,0.0002742591,0.659879,1.303943
0.65,0.6499639,0.0002742596,0.660008,1.304056
0.65,0.6499639,0.0002742608,0.659976,1.303963
0.65,0.649964,0.0002742599,0.659569,1.304016
0.65,0.6499648,0.0002742595,0.65996,1.304028
0.65,0.6499662,0.0002742595,0.660246,1.304068
0.65,0.6499649,0.0002742602,0.659915,1.304064
0.65,0.6499657,0.0002742605,0.659686,1.304229
0.7000000000000001,0.6999548,0.0002946009,0.709947,1.403845
0.7000000000000001,0.6999536,0.0002946015,0.709971,1.403777
0.7000000000000001,0.6999555,0.0002946015,0.709911,1.403797
0.7000000000000001,0.6999555,0.0002946006,0.709975,1.403837
0.7000000000000001,0.6999547,0.0002946025,0.710088,1.403805
0.7000000000000001,0.6999563,0.000294602,0.709883,1.403821
0.7000000000000001,0.699956,0.0002946026,0.709947,1.403765
0.7000000000000001,0.6999553,0.0002946016,0.71006,1.403781
0.7000000000000001,0.6999545,0.0002946016,0.709919,1.403745
0.7000000000000001,0.6999542,0.000294602,0.709875,1.403817
0.7500000000000001,0.7499929,0.000314963,0.760486,1.50353
0.7500000000000001,0.7499937,0.0003149624,0.760917,1.503603
0.7500000000000001,0.7499941,0.0003149624,0.760124,1.503768
0.7500000000000001,0.7499935,0.0003149632,0.760458,1.503558
0.7500000000000001,0.7499936,0.0003149631,0.760478,1.503643
0.7500000000000001,0.7499931,0.0003149631,0.760458,1.503647
0.7500000000000001,0.7499926,0.0003149642,0.760317,1.503655
0.7500000000000001,0.7499943,0.0003149626,0.760225,1.503591
0.7500000000000001,0.7499946,0.0003149635,0.760289,1.503615
0.7500000000000001,0.7499936,0.0003149632,0.760245,1.503567
0.8000000000000002,0.8000349,0.0003353254,0.81082,1.603332
0.8000000000000002,0.8000358,0.0003353264,0.810941,1.603372
0.8000000000000002,0.8000355,0.0003353257,0.810949,1.603195
0.8000000000000002,0.8000357,0.0003353255,0.810877,1.603086
0.8000000000000002,0.8000353,0.0003353262,0.810865,1.603292
0.8000000000000002,0.8000352,0.000335325,0.810985,1.603364
0.8000000000000002,0.800037,0.0003353241,0.810969,1.603284
0.8000000000000002,0.8000351,0.0003353237,0.810941,1.603227
0.8000000000000002,0.8000348,0.0003353255,0.810873,1.603292
0.8000000000000002,0.8000372,0.0003353254,0.810861,1.603425
0.8500000000000002,0.8500057,0.0003556584,0.861549,1.702807
0.8500000000000002,0.8500044,0.0003556596,0.861746,1.702884
0.8500000000000002,0.8500056,0.0003556585,0.861428,1.702868
0.8500000000000002,0.8500051,0.000355658,0.861452,1.702815
0.8500000000000002,0.8500058,0.0003556571,0.861436,1.702924
0.8500000000000002,0.8500068,0.0003556572,0.861525,1.7029
0.8500000000000002,0.8500057,0.0003556555,0.861517,1.702839
0.8500000000000002,0.8500032,0.0003556557,0.861746,1.702868
0.8500000000000002,0.850005,0.0003556565,0.861557,1.702848
0.8500000000000002,0.8500049,0.0003556564,0.861573,1.702807
0.9000000000000002,0.8999673,0.0003759859,0.911609,1.802472
0.9000000000000002,0.8999662,0.0003759855,0.911262,1.802613
0.9000000000000002,0.8999664,0.0003759868,0.911516,1.802508
0.9000000000000002,0.8999668,0.0003759876,0.911685,1.802569
0.9000000000000002,0.8999673,0.0003759865,0.911685,1.802532
0.9000000000000002,0.8999659,0.0003759853,0.911693,1.802629
0.9000000000000002,0.8999656,0.0003759859,0.911822,1.802569
0.9000000000000002,0.899965,0.0003759856,0.911657,1.80252
0.9000000000000002,0.8999667,0.0003759867,0.911718,1.802464
0.9000000000000002,0.8999656,0.0003759872,0.91171,1.802577
0.9500000000000003,0.9499639,0.0003963323,0.962329,1.90202
0.9500000000000003,0.9499629,0.0003963314,0.962527,1.902012
0.9500000000000003,0.9499634,0.0003963324,0.962454,1.902052
0.9500000000000003,0.949963,0.0003963311,0.962362,1.902004
0.9500000000000003,0.9499631,0.0003963319,0.962668,1.901951
0.9500000000000003,0.9499639,0.0003963319,0.962321,1.901955
0.9500000000000003,0.9499637,0.0003963317,0.962587,1.902048
0.9500000000000003,0.9499623,0.0003963308,0.962301,1.902028
0.9500000000000003,0.9499639,0.0003963314,0.962539,1.901988
0.9500000000000003,0.9499632,0.000396331,0.962519,1.902056
