V,V_in,I_in,V_i,V_2x,T
0.1,0.1000782,5.036972e-05,0.208518,0.10719,28.98
0.1,0.1000779,5.036921e-05,0.208651,0.107262,29.0
0.1,0.1000784,5.03694e-05,0.208562,0.107286,29.0
0.1,0.1000786,5.036925e-05,0.208599,0.107206,29.02
0.1,0.100081,5.036885e-05,0.208586,0.107403,29.030001
0.1,0.1000795,5.036829e-05,0.208659,0.107331,29.040001
0.1,0.1000794,5.03685e-05,0.208643,0.107355,29.040001
0.1,0.1000781,5.036795e-05,0.20859,0.107294,29.049999
0.1,0.1000774,5.036747e-05,0.208566,0.107157,29.059999
0.1,0.1000799,5.036825e-05,0.208482,0.107443,29.059999
0.1,0.1000807,5.036884e-05,0.208566,0.107298,29.07
0.1,0.1000797,5.036688e-05,0.208522,0.107177,29.08
0.1,0.1000791,5.036681e-05,0.208566,0.107318,29.09
0.1,0.1000783,5.03657e-05,0.208474,0.107214,29.120001
0.1,0.1000789,5.03663e-05,0.208603,0.107347,29.129999
0.15000000000000002,0.1501147,7.072338e-05,0.308388,0.158514,29.139999
0.15000000000000002,0.1501154,7.072382e-05,0.308207,0.158688,29.15
0.15000000000000002,0.1501141,7.072373e-05,0.308203,0.158486,29.17
0.15000000000000002,0.1501153,7.072381e-05,0.30834,0.158559,29.18
0.15000000000000002,0.1501145,7.072317e-05,0.30836,0.158522,29.209999
0.15000000000000002,0.1501151,7.072236e-05,0.308227,0.158422,29.219999
0.15000000000000002,0.1501142,7.07221e-05,0.308211,0.158716,29.25
0.15000000000000002,0.1501153,7.072234e-05,0.308324,0.158663,29.25
0.15000000000000002,0.1501135,7.072145e-05,0.308179,0.158273,29.26
0.15000000000000002,0.1501114,7.072238e-05,0.308179,0.158188,29.26
0.15000000000000002,0.1501133,7.072146e-05,0.308239,0.158571,29.280001
0.15000000000000002,0.1501131,7.072087e-05,0.308328,0.158567,29.27
0.15000000000000002,0.1501133,7.072015e-05,0.308299,0.158535,29.280001
0.15000000000000002,0.1501129,7.071895e-05,0.308175,0.158486,29.290001
0.15000000000000002,0.1501123,7.071831e-05,0.308336,0.158522,29.309999
0.15000000000000002,0.1501124,7.071772e-05,0.308134,0.158535,29.32
0.15000000000000002,0.1501148,7.071732e-05,0.308332,0.158776,29.33
0.15000000000000002,0.1501129,7.071668e-05,0.308235,0.158555,29.33
0.15000000000000002,0.1501143,7.071633e-05,0.308312,0.15851,29.34
0.15000000000000002,0.150113,7.071625e-05,0.308352,0.158402,29.34
0.15000000000000002,0.1501133,7.071593e-05,0.308307,0.158446,29.35
0.15000000000000002,0.1501122,7.07151e-05,0.308384,0.158575,29.35
0.15000000000000002,0.150112,7.071516e-05,0.308388,0.158349,29.370001
0.15000000000000002,0.1501126,7.071535e-05,0.308352,0.158454,29.379999
0.15000000000000002,0.1501138,7.071462e-05,0.308239,0.158535,29.370001
0.15000000000000002,0.1501133,7.071469e-05,0.308312,0.158446,29.379999
0.15000000000000002,0.150113,7.071393e-05,0.308223,0.15868,29.379999
0.15000000000000002,0.1501126,7.071261e-05,0.308199,0.158571,29.389999
0.15000000000000002,0.1501124,7.071263e-05,0.308376,0.158547,29.389999
0.15000000000000002,0.1501136,7.071237e-05,0.308307,0.158502,29.4
0.15000000000000002,0.1501125,7.071208e-05,0.308356,0.158575,29.4
0.15000000000000002,0.1501126,7.071139e-05,0.308392,0.158462,29.379999
0.15000000000000002,0.1501134,7.071035e-05,0.308227,0.158369,29.4
0.15000000000000002,0.1501142,7.071005e-05,0.308175,0.158494,29.4
0.15000000000000002,0.1501125,7.07108e-05,0.308223,0.158518,29.41
0.15000000000000002,0.1501155,7.071022e-05,0.30836,0.158321,29.42
0.15000000000000002,0.1501146,7.070968e-05,0.308191,0.158595,29.43
0.15000000000000002,0.150113,7.070966e-05,0.30832,0.158402,29.440001
0.15000000000000002,0.1501136,7.070936e-05,0.308332,0.158518,29.450001
0.15000000000000002,0.150115,7.070955e-05,0.308432,0.158579,29.469999
0.15000000000000002,0.1501147,7.070842e-05,0.308356,0.158152,29.469999
0.15000000000000002,0.1501144,7.070734e-05,0.308195,0.158301,29.48
0.15000000000000002,0.1501147,7.070709e-05,0.308275,0.157801,29.5
0.15000000000000002,0.1501143,7.070682e-05,0.308191,0.158079,29.51
0.15000000000000002,0.1501134,7.07072e-05,0.308316,0.158458,29.51
0.15000000000000002,0.1501127,7.070645e-05,0.308243,0.158309,29.549999
0.15000000000000002,0.1501128,7.070532e-05,0.308324,0.158257,29.549999
0.15000000000000002,0.1501126,7.070513e-05,0.308179,0.158132,29.559999
0.15000000000000002,0.1501109,7.070432e-05,0.308158,0.158232,29.57
0.15000000000000002,0.1501123,7.070375e-05,0.308295,0.158551,29.57
0.15000000000000002,0.1501112,7.070471e-05,0.308231,0.158164,29.57
0.15000000000000002,0.1501117,7.070503e-05,0.30813,0.158132,29.58
0.15000000000000002,0.1501119,7.070484e-05,0.308231,0.15868,29.58
0.15000000000000002,0.1501123,7.070355e-05,0.308356,0.158526,29.6
0.15000000000000002,0.150112,7.070349e-05,0.308316,0.158567,29.610001
0.15000000000000002,0.1501129,7.070325e-05,0.308219,0.158555,29.620001
0.15000000000000002,0.1501135,7.070406e-05,0.308307,0.158551,29.639999
0.15000000000000002,0.150114,7.070485e-05,0.308299,0.158732,29.66
0.15000000000000002,0.1501143,7.070464e-05,0.308235,0.158329,29.67
0.15000000000000002,0.1501131,7.070327e-05,0.308267,0.158406,29.67
0.15000000000000002,0.1501149,7.070334e-05,0.308324,0.158611,29.67
0.15000000000000002,0.1501145,7.070335e-05,0.308352,0.158603,29.700001
0.15000000000000002,0.1501139,7.070334e-05,0.308215,0.158398,29.719999
0.15000000000000002,0.1501136,7.070382e-05,0.308227,0.158724,29.719999
0.15000000000000002,0.1501153,7.070143e-05,0.308312,0.158228,29.719999
0.15000000000000002,0.1501143,7.070181e-05,0.308368,0.158498,29.73
0.15000000000000002,0.1501144,7.070121e-05,0.308352,0.158353,29.73
0.15000000000000002,0.150114,7.070053e-05,0.308263,0.158273,29.73
0.15000000000000002,0.1501138,7.069958e-05,0.308348,0.158418,29.74
0.15000000000000002,0.1501155,7.069907e-05,0.308255,0.158696,29.75
0.15000000000000002,0.1501144,7.069889e-05,0.308279,0.158522,29.75
0.15000000000000002,0.1501147,7.069844e-05,0.308219,0.158514,29.74
0.15000000000000002,0.150114,7.069793e-05,0.308344,0.158655,29.74
0.15000000000000002,0.1501148,7.069764e-05,0.308328,0.158712,29.719999
0.15000000000000002,0.1501147,7.069747e-05,0.308166,0.158591,29.719999
0.15000000000000002,0.1501149,7.069611e-05,0.308348,0.158643,29.709999
0.15000000000000002,0.1501148,7.06959e-05,0.308372,0.158148,29.709999
0.15000000000000002,0.1501152,7.069524e-05,0.308328,0.158253,29.719999
0.15000000000000002,0.1501144,7.069584e-05,0.308316,0.15812,29.709999
0.15000000000000002,0.1501138,7.069475e-05,0.308299,0.158184,29.690001
0.15000000000000002,0.1501139,7.069456e-05,0.308223,0.158063,29.709999
0.15000000000000002,0.1501143,7.069398e-05,0.308247,0.158224,29.709999
0.15000000000000002,0.150115,7.069375e-05,0.308396,0.158043,29.709999
0.15000000000000002,0.1501156,7.069338e-05,0.308291,0.158365,29.73
0.15000000000000002,0.1501159,7.069368e-05,0.308348,0.158446,29.73
0.15000000000000002,0.1501157,7.069251e-05,0.308207,0.158313,29.74
0.15000000000000002,0.1501142,7.06916e-05,0.308316,0.158216,29.77
0.15000000000000002,0.1501155,7.069042e-05,0.308243,0.158095,29.780001
0.15000000000000002,0.1501156,7.069004e-05,0.308251,0.158188,29.809999
0.15000000000000002,0.1501154,7.069013e-05,0.30809,0.158422,29.82
